Summary,Issue Type,Priority,Story Points,Epic Name,Epic Link,Description,Labels,Sprint,Assignee
Pesquisa de personas,Story,High,5,Descoberta & Estratégia,SUSA-EPIC-1,"Como equipe, quero mapear os perfis de profissionais de saúde do SUS (médico, fisioterapeuta, enfermeiro, ACS) que usarão o SUSAssist, incluindo rotina, nível de letramento digital e principais dores, para que o conteúdo e a experiência sejam altamente relevantes.",pesquisa;ux;personas,Sprint 1,
Mapa de empatia por persona,Story,High,3,Descoberta & Estratégia,SUSA-EPIC-1,"Como equipe de UX, quero construir um mapa de empatia para cada persona identificada (mínimo 3), para que todas as decisões de design e conteúdo sejam centradas no usuário real.",ux;personas,Sprint 1,
Jornada do usuário (User Journey Map),Story,High,5,Descoberta & Estratégia,SUSA-EPIC-1,"Como equipe, quero mapear a jornada completa do profissional — do diagnóstico do desconhecimento até a aplicação clínica correta — para identificar pontos de atrito e momentos de oportunidade na plataforma.",ux;jornada,Sprint 1,
Benchmarking de plataformas de treinamento,Story,High,8,Descoberta & Estratégia,SUSA-EPIC-1,"Como product owner, quero analisar pelo menos 5 plataformas concorrentes ou referências (ex: Khan Academy, UNA-SUS, Coursera for Business, Duolingo, Nuvemshop Academy), avaliando: navegação, gamificação, microlearning, acessibilidade e engajamento, para que possamos incorporar melhores práticas e nos diferenciar.",pesquisa;benchmarking,Sprint 1,
Definição do problema e hipóteses de solução (Problem Statement),Story,High,3,Descoberta & Estratégia,SUSA-EPIC-1,"Como equipe, quero formalizar o Problem Statement do SUSAssist em 1 página, com dados e evidências do edital e pesquisa de campo, para que o pitch seja fundamentado e convincente para a banca.",estrategia;pitch,Sprint 1,
Mapa de stakeholders,Story,Medium,2,Descoberta & Estratégia,SUSA-EPIC-1,"Como equipe, quero identificar todos os stakeholders internos e externos (Ministério da Saúde, AVASUS, CERs, UBS, gestores municipais), para que a proposta de integração sistêmica seja realista e validada.",estrategia,Sprint 1,
Definição da paleta de cores da plataforma,Story,High,3,Identidade Visual & Design System,SUSA-EPIC-2,"Como designer, quero definir a paleta de cores primária e secundária do SUSAssist (incluindo acessibilidade WCAG AA/AAA), para garantir consistência visual e acessibilidade para pessoas com daltonismo.",design;acessibilidade,Sprint 1,
Criação do logotipo e wordmark do SUSAssist,Story,High,5,Identidade Visual & Design System,SUSA-EPIC-2,"Como equipe, quero criar o logotipo oficial do SUSAssist com variações (positivo, negativo, monocromático), para que a identidade visual seja aplicada em todas as entregas do hackathon.",design;logo,Sprint 1,
Definição de tipografia e escala tipográfica,Story,High,2,Identidade Visual & Design System,SUSA-EPIC-2,"Como designer, quero escolher a família tipográfica (headings e body text) e definir a escala de tamanhos, pesos e espaçamentos, para que a leitura seja confortável em dispositivos móveis e desktop.",design;tipografia,Sprint 1,
Criação do Design System / Style Guide no Figma,Story,High,8,Identidade Visual & Design System,SUSA-EPIC-2,"Como designer, quero documentar todos os tokens de design (cores, tipografia, espaçamentos, sombras, bordas), componentes base (botões, cards, badges, inputs) e seus estados, para que o time de desenvolvimento e design trabalhem em sincronia.",design;figma;design-system,Sprint 2,
Criação das ilustrações e ícones da plataforma,Story,Medium,5,Identidade Visual & Design System,SUSA-EPIC-2,"Como designer, quero criar ou selecionar um set de ilustrações e ícones customizados para as seções da plataforma (módulos, badges, estados de loading, erros), para que a identidade visual seja coesa e humanizada.",design;ilustracao,Sprint 2,
Criação da imagem/capa para cada módulo de treinamento,Story,High,5,Identidade Visual & Design System,SUSA-EPIC-2,"Como designer, quero criar uma imagem de capa visual distinta para cada um dos 4 módulos de treinamento (Fundamentos, Cadeiras de Rodas, Órteses, Reabilitação), para que os usuários identifiquem rapidamente o conteúdo pelo aspecto visual.",design;modulos,Sprint 2,
Definição da estrutura pedagógica (framework de microlearning),Story,High,5,Conteúdo & Currículo,SUSA-EPIC-3,"Como coordenador de conteúdo, quero definir o modelo pedagógico da plataforma (objetivos de aprendizado, taxonomia de Bloom, duração de cada pílula, tipos de atividade), para garantir eficácia educacional e alinhamento com o público-alvo.",conteudo;pedagogia,Sprint 1,
Roteiro de conteúdo — Módulo 1: Fundamentos e Fluxo SUS,Story,High,8,Conteúdo & Currículo,SUSA-EPIC-3,"Como especialista clínico, quero escrever o roteiro completo do Módulo 1 (diferença entre órtese/prótese, legislação vigente, fluxo UBS→CER), estruturado em tópicos, slides e quizzes, para que o conteúdo seja tecnicamente correto e pedagogicamente progressivo.",conteudo;modulo1;clinico,Sprint 1,
Roteiro de conteúdo — Módulo 2: Prescrição de Cadeiras de Rodas,Story,High,8,Conteúdo & Currículo,SUSA-EPIC-3,"Como especialista clínico, quero escrever o roteiro completo do Módulo 2 (medidas do paciente, tipos de cadeiras, prevenção de úlceras), para que fisioterapeutas e médicos da APS prescrevam com segurança e precisão.",conteudo;modulo2;clinico,Sprint 1,
Roteiro de conteúdo — Módulo 3: Órteses de MMII (AFO/KAFO),Story,High,8,Conteúdo & Currículo,SUSA-EPIC-3,"Como especialista clínico, quero escrever o roteiro do Módulo 3 (indicações AFO/KAFO em AVC, paralisia cerebral e traumas), com casos clínicos integrados ao conteúdo teórico.",conteudo;modulo3;clinico,Sprint 2,
Roteiro de conteúdo — Módulo 4: Reabilitação e Acompanhamento,Story,High,8,Conteúdo & Currículo,SUSA-EPIC-3,"Como especialista clínico, quero escrever o roteiro do Módulo 4 (treino de marcha, acompanhamento pós-entrega, manutenção e descarte), para capacitar o profissional em todo o ciclo de vida da tecnologia assistiva.",conteudo;modulo4;clinico,Sprint 2,
Banco de questões para quizzes diagnósticos e formativos,Story,High,5,Conteúdo & Currículo,SUSA-EPIC-3,"Como equipe pedagógica, quero criar um banco com pelo menos 40 questões (10 por módulo) em formato múltipla escolha e verdadeiro/falso, com feedback explicativo para cada resposta, para estimular o aprendizado ativo e avaliar o progresso do profissional.",conteudo;quiz,Sprint 2,
Criação de 3 casos clínicos para o Simulador Interativo,Story,High,13,Conteúdo & Currículo,SUSA-EPIC-3,"Como especialista clínico, quero roteirizar pelo menos 3 casos clínicos completos com diferentes perfis de paciente (idoso com AVC, criança com paralisia cerebral, adulto amputado), incluindo cenário, perguntas de decisão e feedback.",conteudo;simulador;clinico,Sprint 2,
Definição e descrição dos Badges de gamificação,Story,Medium,3,Conteúdo & Currículo,SUSA-EPIC-3,"Como equipe de produto, quero definir todos os badges (nome, critério de desbloqueio, ícone e mensagem de conquista) para cada módulo e para o simulador clínico, para estimular o engajamento e o senso de progressão do profissional.",conteudo;gamificacao;badges,Sprint 2,
